,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Round_Diff,Score - Final
0,0,Intercept,-1.4188093282970267,,Intercept,312.38558946419903,312.0,-0.38558946419902895,312.0
1,1,grade:A,1.1203282835202946,5.653670156135157e-35,grade,85.72856401349578,86.0,0.2714359865042155,86.0
2,2,grade:B,0.8799634628267174,3.153737526306871e-47,grade,67.33562399713452,67.0,-0.33562399713451896,67.0
3,3,grade:C,0.6863080300674017,4.598326378489742e-34,grade,52.516929862499204,53.0,0.4830701375007962,53.0
4,4,grade:D,0.49892016998419164,9.137947977890674e-21,grade,38.17783622824976,38.0,-0.17783622824975964,38.0
5,5,grade:E,0.3242911466136337,6.601925109783539e-12,grade,24.815060666075944,25.0,0.18493933392405637,25.0
6,6,grade:F,0.13629473853937912,0.005480394247595366,grade,10.429400372595499,10.0,-0.4294003725954987,10.0
7,7,home_ownership:OWN,0.09412830826209566,2.9959726786292476e-06,home_ownership,7.202785843246949,7.0,-0.20278584324694915,7.0
8,8,home_ownership:MORTGAGE,0.10659362785920806,3.569485501971425e-17,home_ownership,8.156643712185037,8.0,-0.15664371218503703,8.0
9,9,addr_state:NM_VA,0.03783395233271668,0.23746151391015324,addr_state,2.8950892806591324,3.0,0.1049107193408676,3.0
10,10,addr_state:NY,0.05795768517202087,0.016698815730427613,addr_state,4.434976065882408,4.0,-0.4349760658824078,4.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.06050147486957681,0.00895408501232189,addr_state,4.629629223471681,5.0,0.3703707765283193,5.0
12,12,addr_state:CA,0.06410664064557942,0.002486857688318986,addr_state,4.905499867419147,5.0,0.09450013258085299,5.0
13,13,addr_state:UT_KY_AZ_NJ,0.07923499028641841,0.0014675501742169856,addr_state,6.0631352763262525,6.0,-0.06313527632625249,6.0
14,14,addr_state:AR_MI_PA_OH_MN,0.13641266311790834,1.3824310144448845e-09,addr_state,10.438424071209479,10.0,-0.4384240712094787,10.0
15,15,addr_state:RI_MA_DE_SD_IN,0.10178661357935431,0.0006463555433355371,addr_state,7.788806501015705,8.0,0.2111934989842954,8.0
16,16,addr_state:GA_WA_OR,0.18666024134505652,2.560290916409566e-12,addr_state,14.283415570516903,14.0,-0.2834155705169028,14.0
17,17,addr_state:WI_MT,0.24166511918581526,3.7410376958360015e-07,addr_state,18.492440068415853,18.0,-0.49244006841585275,19.0
18,18,addr_state:TX,0.22326485430659287,8.32448621077094e-18,addr_state,17.084434657174157,17.0,-0.08443465717415677,17.0
19,19,addr_state:IL_CT,0.2628306263642584,2.2684936803145683e-19,addr_state,20.112044396643455,20.0,-0.112044396643455,20.0
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.3218319119930913,1.6816725189974932e-25,addr_state,24.62687774175584,25.0,0.3731222582441589,25.0
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.5232828821233542,8.049609301964589e-23,addr_state,40.04209365876096,40.0,-0.042093658760961716,40.0
22,22,verification_status:Not Verified,0.08572866591273805,4.387298056097269e-09,verification_status,6.56003738511224,7.0,0.4399626148877598,7.0
23,23,verification_status:Source Verified,-0.011174116515801816,0.40547867203122034,verification_status,-0.8550538062014602,-1.0,-0.1449461937985398,-1.0
24,24,purpose:credit_card,0.30198056142397417,1.1922467311566162e-26,purpose,23.10783390161336,23.0,-0.10783390161336115,23.0
25,25,purpose:debt_consolidation,0.19838569152807653,2.2839253668565583e-14,purpose,15.180657942586212,15.0,-0.18065794258621182,15.0
26,26,purpose:oth__med__vacation,0.2138675527754962,6.127476721702027e-12,purpose,16.365344388979437,16.0,-0.36534438897943744,16.0
27,27,purpose:major_purch__car__home_impr,0.2657417314463488,1.6874403007895743e-17,purpose,20.334804869668215,20.0,-0.3348048696682149,20.0
28,28,initial_list_status:w,0.05442111529635016,3.064265032820997e-05,initial_list_status,4.164354444135994,4.0,-0.1643544441359941,4.0
29,29,term:36,0.07841134798126774,2.038244760817854e-08,term,6.00010939978633,6.0,-0.0001093997863303997,6.0
30,30,emp_length:1,0.09906804065889915,0.0001342321454577131,emp_length,7.580778768372664,8.0,0.41922123162733627,8.0
31,31,emp_length:2-4,0.12492734612257718,3.7302218420165394e-11,emp_length,9.559556914383208,10.0,0.440443085616792,10.0
32,32,emp_length:5-6,0.0903340338466827,2.4554201892390314e-05,emp_length,6.912444430027949,7.0,0.08755556997205094,7.0
33,33,emp_length:7-9,0.060989185619727625,0.003372734788684804,emp_length,4.666949304450978,5.0,0.333050695549022,5.0
34,34,emp_length:10,0.1258318748126647,8.657553728726623e-12,emp_length,9.628772292456635,10.0,0.3712277075433654,10.0
35,35,mths_since_issue_d:<38,1.074424359336703,8.70355299924898e-178,mths_since_issue_d,82.21595296838474,82.0,-0.21595296838474098,82.0
36,36,mths_since_issue_d:38-39,0.8720635448169668,4.23313950207679e-147,mths_since_issue_d,66.7311149110368,67.0,0.2688850889632022,67.0
37,37,mths_since_issue_d:40-41,0.7708798344278639,1.6839515548141731e-121,mths_since_issue_d,58.988443123836404,59.0,0.011556876163595575,59.0
38,38,mths_since_issue_d:42-48,0.570513897528778,1.4380428692006686e-85,mths_since_issue_d,43.656254960556694,44.0,0.3437450394433057,44.0
39,39,mths_since_issue_d:49-52,0.4097525619677688,1.232540170911834e-39,mths_since_issue_d,31.35464778945879,31.0,-0.3546477894587916,31.0
40,40,mths_since_issue_d:53-64,0.1644438950697344,1.8594513612099858e-08,mths_since_issue_d,12.58340005557749,13.0,0.4165999444225097,13.0
